,Location,Percent fully vaccinated,Total doses
0,World,61.0,12120524547
1,China,87.0,3403643000
2,India,66.0,1978918170
3,US,67.0,596233489
4,Brazil,79.0,456903089
5,Indonesia,61.0,417522347
6,Japan,81.0,285756540
7,Bangladesh,72.0,278785812
8,Pakistan,57.0,273365003
9,Vietnam,83.0,233534502
10,Mexico,61.0,209179257
11,Germany,76.0,182926984
12,Russia,51.0,168992435
13,Philippines,64.0,153852751
14,Iran,68.0,149957751
15,UK,73.0,149397250
16,Turkey,62.0,147839557
17,France,78.0,146197822
18,Thailand,76.0,139099244
19,Italy,79.0,138319018
20,South Korea,87.0,126015059
21,Argentina,82.0,106075760
22,Spain,87.0,95153556
23,Egypt,36.0,91447330
24,Canada,83.0,86256122
25,Colombia,71.0,85767160
26,Peru,83.0,77892776
27,Malaysia,83.0,71272417
28,Saudi Arabia,71.0,66700629
29,Myanmar,49.0,62259560
30,Chile,92.0,59605701
31,Taiwan,82.0,58215158
32,Australia,84.0,57927802
33,Uzbekistan,46.0,55782994
34,Morocco,63.0,54846507
35,Poland,60.0,54605119
36,Nigeria,10.0,50619238
37,Ethiopia,32.0,49687694
38,Nepal,69.0,46888075
39,Cambodia,85.0,40956960
40,Sri Lanka,68.0,39586599
41,Cuba,88.0,38725766
42,Venezuela,50.0,37860994
43,South Africa,32.0,36861626
44,Ecuador,78.0,35827364
45,Netherlands,70.0,33326378
46,Ukraine,35.0,31668577
47,Mozambique,44.0,31616078
48,Belgium,79.0,25672563
49,United Arab Emirates,98.0,24922054
50,Portugal,87.0,24616852
51,Rwanda,65.0,22715578
52,Sweden,75.0,22674504
53,Uganda,24.0,21756456
54,Greece,74.0,21111318
55,Kazakhstan,49.0,20918681
56,Angola,21.0,20397115
57,Ghana,23.0,18643437
58,Iraq,18.0,18636865
59,Kenya,17.0,18535975
60,Austria,73.0,18418001
61,Israel,66.0,18190799
62,Guatemala,35.0,17957760
63,Hong Kong,86.0,17731631
64,Czech Republic,64.0,17676269
65,Romania,42.0,16827486
66,Hungary,64.0,16530488
67,Dominican Republic,55.0,15784815
68,Switzerland,69.0,15759752
69,Algeria,15.0,15205854
70,Honduras,53.0,14444316
71,Singapore,92.0,14225122
72,Bolivia,51.0,13892966
73,Tajikistan,52.0,13782905
74,Azerbaijan,47.0,13772531
75,Denmark,82.0,13227724
76,Belarus,67.0,13206203
77,Tunisia,53.0,13192714
78,Ivory Coast,20.0,12753769
79,Finland,78.0,12168388
80,Zimbabwe,31.0,12006503
81,Nicaragua,82.0,11441278
82,Norway,74.0,11413904
83,New Zealand,80.0,11165408
84,Costa Rica,81.0,11017624
85,Ireland,81.0,10984032
86,El Salvador,66.0,10958940
87,Laos,69.0,10894482
88,Jordan,44.0,10007983
89,Paraguay,48.0,8952310
90,Tanzania,7.0,8837371
91,Uruguay,83.0,8682129
92,Serbia,48.0,8534688
93,Panama,71.0,8366229
94,Sudan,10.0,8179010
95,Kuwait,77.0,8120613
96,Zambia,24.0,7199179
97,Turkmenistan,48.0,7140000
98,Slovakia,51.0,7076057
99,Oman,58.0,7068002
100,Qatar,90.0,6981756
101,Afghanistan,13.0,6445359
102,Guinea,20.0,6329141
103,Lebanon,35.0,5673326
104,Mongolia,65.0,5492919
105,Croatia,55.0,5258768
106,Lithuania,70.0,4489177
107,Bulgaria,30.0,4413874
108,Syria,10.0,4232490
109,Palestinian Territories,34.0,3734270
110,Benin,22.0,3681560
111,Libya,17.0,3579762
112,Niger,10.0,3530154
113,DR Congo,2.0,3514480
114,Sierra Leone,23.0,3493386
115,Bahrain,70.0,3455214
116,Togo,18.0,3290821
117,Kyrgyzstan,20.0,3154348
118,Somalia,10.0,3143630
119,Slovenia,59.0,2996484
120,Burkina Faso,7.0,2947625
121,Albania,43.0,2906126
122,Georgia,32.0,2902085
123,Latvia,70.0,2893861
124,Mauritania,28.0,2872677
125,Botswana,63.0,2730607
126,Liberia,41.0,2716330
127,Mauritius,74.0,2559789
128,Senegal,6.0,2523856
129,Mali,6.0,2406986
130,Madagascar,4.0,2369775
131,Chad,12.0,2356138
132,Malawi,8.0,2166402
133,Moldova,26.0,2165600
134,Armenia,33.0,2150112
135,Estonia,64.0,1993944
136,Bosnia and Herzegovina,26.0,1924950
137,Bhutan,86.0,1910077
138,North Macedonia,40.0,1850145
139,Cameroon,4.0,1838907
140,Kosovo,46.0,1830809
141,Cyprus,72.0,1788761
142,Timor-Leste,52.0,1638158
143,Fiji,70.0,1609748
144,Trinidad and Tobago,51.0,1574574
145,Jamaica,24.0,1459394
146,Macau,89.0,1441062
147,Malta,91.0,1317628
148,Luxembourg,73.0,1304777
149,South Sudan,10.0,1226772
150,Central African Republic,22.0,1217399
151,Brunei,97.0,1173118
152,Guyana,58.0,1011150
153,Maldives,71.0,945036
154,Lesotho,34.0,933825
155,Yemen,1.0,864544
156,Congo,12.0,831318
157,Namibia,16.0,825518
158,Gambia,14.0,812811
159,Iceland,79.0,805469
160,Cape Verde,55.0,773810
161,Montenegro,45.0,675285
162,Comoros,34.0,642320
163,Papua New Guinea,3.0,615156
164,Guinea-Bissau,17.0,572954
165,Gabon,11.0,567575
166,Eswatini,29.0,535393
167,Suriname,40.0,505699
168,Samoa,99.0,494684
169,Belize,53.0,489508
170,Equatorial Guinea,14.0,484554
171,Solomon Islands,25.0,463637
172,Haiti,1.0,342724
173,Bahamas,40.0,340866
174,Barbados,53.0,316212
175,Vanuatu,40.0,309433
176,Tonga,91.0,242634
177,Jersey,80.0,236026
178,Djibouti,16.0,222387
179,Seychelles,82.0,221597
180,Sao Tome and Principe,44.0,218850
181,Isle of Man,79.0,189994
182,Guernsey,81.0,157161
183,Andorra,69.0,153383
184,Kiribati,50.0,147497
185,Cayman Islands,90.0,145906
186,Bermuda,77.0,131612
187,Antigua and Barbuda,63.0,126122
188,Saint Lucia,29.0,121513
189,Gibraltar,123.0,119855
190,Faroe Islands,83.0,103894
191,Grenada,34.0,89147
192,Greenland,68.0,79745
193,St Vincent and the Grenadines,28.0,71501
194,Liechtenstein,69.0,70780
195,Turks and Caicos Islands,76.0,69803
196,San Marino,69.0,69338
197,Dominica,42.0,66992
198,Monaco,65.0,65140
199,Saint Kitts and Nevis,49.0,60467
200,British Virgin Islands,59.0,41198
201,Cook Islands,84.0,39780
202,Anguilla,67.0,23926
203,Nauru,79.0,22976
204,Burundi,0.12,17139
205,Tuvalu,52.0,12528
206,Saint Helena,58.0,7892
207,Montserrat,38.0,4422
208,Falkland Islands,50.0,4407
209,Niue,88.0,4161
210,Tokelau,71.0,1936
211,Pitcairn,100.0,94
212,British Indian Ocean Territory,0.0,0
213,Eritrea,0.0,0
214,North Korea,0.0,0
215,South Georgia and the South Sandwich Islands,0.0,0
216,Vatican,0.0,0
